category,clause,include,reason,occurrences
epstein,against Congress avoiding voting on releasing the Epstein files,1,Supports the selected cause in CCC claims_summary.,1
epstein,against Jeffrey Epstein,0,Generic opposition without explicit disclosure or accountability demand.,1
epstein,against President Trump's alleged naming in the Epstein files,0,Ambiguous: opposition to alleged naming does not explicitly demand accountability.,1
epstein,against Rep. Andy Biggs voting not to release the Epstein files,1,Supports the selected cause in CCC claims_summary.,1
epstein,against covering up the Epstein files,1,Supports the selected cause in CCC claims_summary.,425
epstein,against the delay in the Epstein investigation,1,Supports the selected cause in CCC claims_summary.,1
epstein,for Congress releasing the Epstein files,1,Supports the selected cause in CCC claims_summary.,1
epstein,for lawmakers to release unredacted Epstein files,1,Supports the selected cause in CCC claims_summary.,1
epstein,for release of Epstein files,1,Supports the selected cause in CCC claims_summary.,1
epstein,for release of the Epstein Files,1,Supports the selected cause in CCC claims_summary.,2
epstein,for release of the Epstein files,1,Supports the selected cause in CCC claims_summary.,3
epstein,for releasing the Epstein Files,1,Supports the selected cause in CCC claims_summary.,2
epstein,for releasing the Epstein files,1,Supports the selected cause in CCC claims_summary.,1
epstein,for the release of Epstein list,1,Supports the selected cause in CCC claims_summary.,1
epstein,for the release of the Epstein Files,1,Supports the selected cause in CCC claims_summary.,1
epstein,for the release of the Epstein files,1,Supports the selected cause in CCC claims_summary.,51
epstein,for the release of the epstein files,1,Supports the selected cause in CCC claims_summary.,1
racial,Black Lives Matter,1,Supports the selected cause in CCC claims_summary.,1
racial,against anti-Black racism and police brutality,1,Supports the selected cause in CCC claims_summary.,1
racial,"against hate crimes, police brutality, and systemic violence against LGBTQ people",1,Supports the selected cause in CCC claims_summary.,1
racial,against police brutality,1,Supports the selected cause in CCC claims_summary.,659
racial,against police brutality and state violence,1,Supports the selected cause in CCC claims_summary.,20
racial,against police racism and police brutality,1,Supports the selected cause in CCC claims_summary.,1
racial,against police violence,1,Supports the selected cause in CCC claims_summary.,73
racial,against police violence and corruption,1,Supports the selected cause in CCC claims_summary.,53
racial,against police violence and weaponizing of officers,1,Supports the selected cause in CCC claims_summary.,1
racial,against racial justice vigil,0,Opposes the selected cause.,1
racial,against state attorney general Rob Bonta's complicity in police brutality,1,Supports the selected cause in CCC claims_summary.,1
racial,for AB 1071 (Kalra): The Racial Justice Act,1,Supports the selected cause in CCC claims_summary.,1
racial,for criminal and racial justice,1,Supports the selected cause in CCC claims_summary.,1
racial,for demanding accountability and justice while pressuring city officials over police violence,1,Supports the selected cause in CCC claims_summary.,1
racial,for justice for Donnell Rochester and all victims of police brutality,1,Supports the selected cause in CCC claims_summary.,1
racial,for justice for Jebrell Conley and all victims of police brutality,1,Supports the selected cause in CCC claims_summary.,1
racial,for justice for Michael Barrera and all victims of police violence,1,Supports the selected cause in CCC claims_summary.,1
racial,for justice for Robert Brooks and all lives stolen by police brutality and incarceration,1,Supports the selected cause in CCC claims_summary.,1
